"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10","test_delete_project_with_id_parametrizer[TC018: delete_project_with_id_empty]","tests.api-planka.project_management","Fri Dec 05 01:25:09 UTC 2025","passed","Fri Dec 05 01:25:09 UTC 2025","","test_delete_project","",""
"","51","test_delete_project_with_token[TC015: delete_project_with_valid_token]","tests.api-planka.project_management","Fri Dec 05 01:25:09 UTC 2025","passed","Fri Dec 05 01:25:09 UTC 2025","","test_delete_project","",""
"","10","test_delete_project_with_id_parametrizer[TC017: delete_project_with_id_not_exists]","tests.api-planka.project_management","Fri Dec 05 01:25:09 UTC 2025","passed","Fri Dec 05 01:25:09 UTC 2025","","test_delete_project","",""
"","17","test_get_project_with_token[TC011: get_project_with_valid_token]","tests.api-planka.project_management","Fri Dec 05 01:25:09 UTC 2025","passed","Fri Dec 05 01:25:09 UTC 2025","","test_get_projects","",""
"","9","test_create_project_with_attribute_type_parametrizer[TC007 : create_project_with_type_empty]","tests.api-planka.project_management","Fri Dec 05 01:25:09 UTC 2025","passed","Fri Dec 05 01:25:09 UTC 2025","","test_post_project","",""
"","5","test_delete_project_with_token[TC016: delete_project_with_invalid_token]","tests.api-planka.project_management","Fri Dec 05 01:25:09 UTC 2025","passed","Fri Dec 05 01:25:09 UTC 2025","","test_delete_project","",""
"","16","test_create_project_with_attribute_type_parametrizer[TC006 : create_project_with_type_shared]","tests.api-planka.project_management","Fri Dec 05 01:25:09 UTC 2025","passed","Fri Dec 05 01:25:09 UTC 2025","","test_post_project","",""
"","4","test_get_project_with_token[TC012: get_project_with_invalid_token]","tests.api-planka.project_management","Fri Dec 05 01:25:09 UTC 2025","passed","Fri Dec 05 01:25:09 UTC 2025","","test_get_projects","",""
"","5","test_create_project_with_token[TC002: create_project_with_invalid_token]","tests.api-planka.project_management","Fri Dec 05 01:25:09 UTC 2025","passed","Fri Dec 05 01:25:09 UTC 2025","","test_post_project","",""
"","12","test_create_project_with_attribute_type_parametrizer[TC008 : create_project_with_type_invalid]","tests.api-planka.project_management","Fri Dec 05 01:25:09 UTC 2025","passed","Fri Dec 05 01:25:09 UTC 2025","","test_post_project","",""
"","15","test_create_project_with_attribute_type_parametrizer[TC005 : create_project_with_type_private]","tests.api-planka.project_management","Fri Dec 05 01:25:09 UTC 2025","passed","Fri Dec 05 01:25:09 UTC 2025","","test_post_project","",""
"","15","test_create_project_with_attribute_name_parametrizer[TC009: create_project_with_attribute_name_empty]","tests.api-planka.project_management","Fri Dec 05 01:25:09 UTC 2025","passed","Fri Dec 05 01:25:09 UTC 2025","","test_post_project","",""
"","18","test_create_project_with_token[TC001: create_project_with_valid_token]","tests.api-planka.project_management","Fri Dec 05 01:25:09 UTC 2025","passed","Fri Dec 05 01:25:09 UTC 2025","","test_post_project","",""
"","8","test_delete_project_with_id_parametrizer[TC019: delete_project_with_id_invalid_string]","tests.api-planka.project_management","Fri Dec 05 01:25:09 UTC 2025","passed","Fri Dec 05 01:25:09 UTC 2025","","test_delete_project","",""
"","25","test_create_project_with_attribute_name_parametrizer[TC010: create_project_with_attribute_name_value_number]","tests.api-planka.project_management","Fri Dec 05 01:25:09 UTC 2025","skipped","Fri Dec 05 01:25:09 UTC 2025","","test_post_project","",""
