"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9","test_post_card_validate_attribute_with_type[TC007: create_card_with_type_invalid]","tests.api-planka.card","Mon Dec 01 00:54:00 UTC 2025","passed","Mon Dec 01 00:54:00 UTC 2025","","test_post_card","",""
"","8","test_post_card_validate_attribute_with_position[TC008: create_card_with_attribute_position_empty]","tests.api-planka.card","Mon Dec 01 00:54:00 UTC 2025","passed","Mon Dec 01 00:54:00 UTC 2025","","test_post_card","",""
"","3","test_create_list_with_token[TC002: create_list_with_invalid_token]","tests.api-planka.list","Mon Dec 01 00:54:01 UTC 2025","passed","Mon Dec 01 00:54:01 UTC 2025","","test_post_list","",""
"","8","test_delete_card_with_id_card[TC026: delete_card_with_empty_id]","tests.api-planka.card","Mon Dec 01 00:54:00 UTC 2025","skipped","Mon Dec 01 00:54:00 UTC 2025","","test_delete_card","",""
"","30","test_post_card_validate_attribute_with_position[TC011: create_card_with_attribute_position_value_exceeding]","tests.api-planka.card","Mon Dec 01 00:54:00 UTC 2025","skipped","Mon Dec 01 00:54:01 UTC 2025","","test_post_card","",""
"","6","test_create_project_with_attribute_name_parametrizer[TC009: create_project_with_attribute_name_empty]","tests.api-planka.project_management","Mon Dec 01 00:54:02 UTC 2025","passed","Mon Dec 01 00:54:02 UTC 2025","","test_post_project","",""
"","7","test_create_list_with_id_board_parametrizer[TC017: create_list_with_id_board_invalid_type]","tests.api-planka.list","Mon Dec 01 00:54:01 UTC 2025","passed","Mon Dec 01 00:54:01 UTC 2025","","test_post_list","",""
"","18","test_delete_list_with_token[TC025: delete_list_with_valid_token]","tests.api-planka.list","Mon Dec 01 00:54:01 UTC 2025","passed","Mon Dec 01 00:54:01 UTC 2025","","test_delete_list","",""
"","10","test_delete_board_with_board_id[TC024: delete_board_with_invalid_id_type]","tests.api-planka.board","Mon Dec 01 00:54:00 UTC 2025","passed","Mon Dec 01 00:54:00 UTC 2025","","test_delete_board","",""
"","4","test_get_project_with_token[TC012: get_project_with_invalid_token]","tests.api-planka.project_management","Mon Dec 01 00:54:01 UTC 2025","passed","Mon Dec 01 00:54:01 UTC 2025","","test_get_projects","",""
"","8","test_get_card_with_id_card[TC020: get_card_with_nonexistent_card_id]","tests.api-planka.card","Mon Dec 01 00:54:00 UTC 2025","passed","Mon Dec 01 00:54:00 UTC 2025","","test_get_card","",""
"","13","test_create_list_with_token[TC001: create_list_with_valid_token]","tests.api-planka.list","Mon Dec 01 00:54:01 UTC 2025","passed","Mon Dec 01 00:54:01 UTC 2025","","test_post_list","",""
"","7","test_post_board_validate_attribute_with_name[TC003: create_board_with_attribute_name_empty]","tests.api-planka.board","Mon Dec 01 00:54:00 UTC 2025","passed","Mon Dec 01 00:54:00 UTC 2025","","test_post_board","",""
"","36","test_create_card_with_token[TC001: create_card_with_valid_token]","tests.api-planka.card","Mon Dec 01 00:54:00 UTC 2025","passed","Mon Dec 01 00:54:00 UTC 2025","","test_post_card","",""
"","10","test_post_card_with_list_id[TC014: create_card_with_nonexistent_list_id]","tests.api-planka.card","Mon Dec 01 00:54:01 UTC 2025","passed","Mon Dec 01 00:54:01 UTC 2025","","test_post_card","",""
"","6","test_create_project_with_attribute_type_parametrizer[TC007 : create_project_with_type_empty]","tests.api-planka.project_management","Mon Dec 01 00:54:02 UTC 2025","passed","Mon Dec 01 00:54:02 UTC 2025","","test_post_project","",""
"","3","test_delete_list_with_token[TC026: delete_list_with_invalid_token]","tests.api-planka.list","Mon Dec 01 00:54:01 UTC 2025","passed","Mon Dec 01 00:54:01 UTC 2025","","test_delete_list","",""
"","7","test_create_project_with_attribute_type_parametrizer[TC008 : create_project_with_type_invalid]","tests.api-planka.project_management","Mon Dec 01 00:54:02 UTC 2025","passed","Mon Dec 01 00:54:02 UTC 2025","","test_post_project","",""
"","7","test_get_list_with_id_list_parametrizer[TC024: get_list_with_invalid_list_id_type]","tests.api-planka.list","Mon Dec 01 00:54:01 UTC 2025","passed","Mon Dec 01 00:54:01 UTC 2025","","test_get_list","",""
"","6","test_create_list_with_attribute_position_parametrizer[TC007: create_list_with_attribute_position_empty]","tests.api-planka.list","Mon Dec 01 00:54:01 UTC 2025","passed","Mon Dec 01 00:54:01 UTC 2025","","test_post_list","",""
"","7","test_post_board_validate_attribute_with_position[TC005: create_board_with_attribute_position_empty]","tests.api-planka.board","Mon Dec 01 00:54:00 UTC 2025","passed","Mon Dec 01 00:54:00 UTC 2025","","test_post_board","",""
"","11","test_post_board_validate_attribute_with_position[TC007: create_board_with_attribute_position_invalid_type]","tests.api-planka.board","Mon Dec 01 00:54:00 UTC 2025","passed","Mon Dec 01 00:54:00 UTC 2025","","test_post_board","",""
